"Taxonomy","Metabolic category","Feeding Type","Environment","Feeding Mode","Trophic Level","BodyWeight","Mobility"
"Haemulon plumieri","ectotherm vertebrate","carnivorous","reef-associated","predator",3.94,1.36E+003,4
"Haemulon sciurus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.05,1.19E+003,4
"Hemiramphus balao","ectotherm vertebrate","carnivorous","reef-associated","predator",3.9,6.14E+002,4
"Hemiramphus brasiliensis","ectotherm vertebrate","carnivorous","reef-associated","predator",3.16,2.98E+002,4
"Holocentrus ascensionis","ectotherm vertebrate","carnivorous","reef-associated","predator",4.28,8.38E+002,4
"Holocentrus coruscus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.64,5.70E+001,4
"Neoniphon marianus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.09,1.63E+002,4
"Holocentrus rufus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.14,5.83E+002,4
"Sargocentron vexillarium","ectotherm vertebrate","carnivorous","reef-associated","predator",3.91,1.81E+002,4
"Myripristis jacobus","ectotherm vertebrate","herbivorous/detrivorous","reef-associated","grazer",3.88,3.97E+002,4
"Kyphosus incisor","ectotherm vertebrate","herbivorous/detrivorous","reef-associated","grazer",2,6.12E+003,4
"Kyphosus sectarix","ectotherm vertebrate","carnivorous","reef-associated","predator",2,9.14E+003,4
"Bodianus rufus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.17,1.56E+003,4
"Clepticus parrae","ectotherm vertebrate","omnivorous","reef-associated","predator",3,4.47E+002,4
"Halichoeres bivittatus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.22,2.30E+002,4
"Halichoeres garnoti","ectotherm vertebrate","omnivorous","reef-associated","predator",4.12,1.32E+002,4
"Halichoeres maculipinna","ectotherm vertebrate","omnivorous","reef-associated","predator",3.98,2.50E+001,4
"Halichoeres poeyi","ectotherm vertebrate","omnivorous","reef-associated","predator",3.98,1.50E+002,4
"Halichoeres radiatus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.23,2.28E+003,4
"Xyrichtys novacula","ectotherm vertebrate","omnivorous","reef-associated","predator",3.98,2.30E+002,4
"Xyrichtys splendens","ectotherm vertebrate","omnivorous","reef-associated","predator",3.54,5.00E+001,4
"Lachnolaimus maximus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.03,7.73E+003,4
"Thalassoma bifasciatum","ectotherm vertebrate","omnivorous","reef-associated","predator",4.04,9.70E+001,4
"Lutjanus analis","ectotherm vertebrate","carnivorous","reef-associated","predator",4.66,5.51E+003,4
"Lutjanus apodus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.71,3.50E+003,4
"Lutjanus cyanopterus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.06,7.00E+004,4
"Lutjanus griseus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.51,1.59E+003,4
"Lutjanus jocu","ectotherm vertebrate","carnivorous","reef-associated","predator",4.64,1.34E+004,4
"Lutjanus mahagoni","ectotherm vertebrate","carnivorous","reef-associated","predator",4.73,9.80E+002,4
"Lutjanus synagris","ectotherm vertebrate","carnivorous","reef-associated","predator",4.14,1.21E+003,4
"Ocyurus chrysurus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.53,3.57E+003,4
"Malacanthus plumieri","ectotherm vertebrate","carnivorous","reef-associated","predator",4.51,1.13E+003,4
"Megalops atlanticus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.22,1.60E+005,4
"Aluterus schoepfii","ectotherm vertebrate","carnivorous","reef-associated","predator",3.5,1.89E+003,4
"Aluterus scripta","ectotherm vertebrate","carnivorous","reef-associated","predator",3.47,2.94E+003,4
"Cantherhines macrocerus","ectotherm vertebrate","carnivorous","reef-associated","predator",2.93,2.70E+003,4
"Cantherhines pullus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.39,2.20E+002,4
"Monacanthus ciliatus","ectotherm vertebrate","herbivorous/detrivorous","reef-associated","grazer",3.33,4.48E+002,4
"Mugil curema","ectotherm vertebrate","carnivorous","reef-associated","predator",2,7.67E+002,4
"Mulloidichthys martinicus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.97,4.40E+002,4
"Pseudupeneus maculatus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.9,3.93E+002,4
"Echidna catenata","ectotherm vertebrate","carnivorous","reef-associated","predator",4.64,6.00E+002,4
"Gymnothorax moringa","ectotherm vertebrate","carnivorous","reef-associated","predator",5.19,9.50E+002,4
"Gymnothorax vicinus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.95,3.00E+003,4
"Aetobatus narinari","ectotherm vertebrate","carnivorous","reef-associated","predator",4.69,2.30E+005,4
"Ogcocephalus nasutus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.91,6.41E+002,4
"Myrichthys breviceps","ectotherm vertebrate","carnivorous","reef-associated","predator",4.67,6.40E+002,4
"Myrichthys ocellatus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.68,6.40E+002,4
"Ophichthus ophis","ectotherm vertebrate","carnivorous","demersal","predator/scavenger",5.13,2.09E+003,4
"Opistognathus aurifrons","ectotherm vertebrate","carnivorous","reef-associated","predator",3,3.00E+001,4
"Opistognathus maxillosus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.8,6.50E+001,4
"Opistognathus whitehurstii","ectotherm vertebrate","carnivorous","reef-associated","predator",3.98,1.50E+001,4
"Acanthostracion polygonius","ectotherm vertebrate","carnivorous","reef-associated","predator",3.63,2.20E+003,4
"Acanthostracion quadricomis","ectotherm vertebrate","carnivorous","reef-associated","predator",3.42,3.05E+003,4
"Lactophrys trigonus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.87,3.05E+003,4
"Lactophrys bicaudalis","ectotherm vertebrate","carnivorous","reef-associated","predator",3.92,5.57E+003,4
"Lactophrys triqueter","ectotherm vertebrate","carnivorous","reef-associated","predator",3.74,1.76E+003,4
"Pempheris schomburki","ectotherm vertebrate","herbivorous/detrivorous","reef-associated","grazer",3.67,1.00E+002,4
"Centropyge argi","ectotherm vertebrate","omnivorous","reef-associated","predator",2,3.00E+001,4
"Holacanthus ciliaris","ectotherm vertebrate","omnivorous","reef-associated","predator",3.04,1.00E+001,4
"Holacanthus tricolor","ectotherm vertebrate","carnivorous","reef-associated","predator",2.94,1.99E+003,4
"Pomacanthus arcuatus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.15,1.31E+003,4
"Pomacanthus paru","ectotherm vertebrate","carnivorous","reef-associated","predator",3.15,2.80E+003,4
"Abudefduf saxatilis","ectotherm vertebrate","carnivorous","reef-associated","predator",3.73,4.83E+002,4
"Abudefduf tauru","ectotherm vertebrate","carnivorous","reef-associated","predator",3.54,9.00E+002,4
"Chromis cyanea","ectotherm vertebrate","carnivorous","reef-associated","predator",3,9.30E+001,4
"Chromis multilineata","ectotherm vertebrate","carnivorous","reef-associated","predator",3,3.39E+002,4
"Microspathodon chrysurus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.24,4.12E+002,4
